NASA Outgassing Database
source: http://outgassing.nasa.gov
data last updated: 03/29/2013

sample_id	data_ref	mfgr_code	tml	vcm	wvr	time1	temp1	atm1	time2	temp2	atm2	time3	temp3	atm3	time4	temp4	atm4	appl_code
DEXSIL 201 - BORON/SILICA	GSFC0625	CLI	0.07	0.00														MOLD CPND
DEXTER HYSOL FP4511 BLACK LIQUID ENCAPSULANT	GSC27592	DEX	0.22	0.00	0.16	2H	150	AIR										EPOXY
DF 1006 POLYCARBONATE/FIBER GLASS AS 70/30	GSFC0945	LNP	0.14	0.00														MOLD CPND
DF 1471 ANTI STATIC FILM - BLACK	GSC15285	CHM	0.00	0.00	0.00													ANTI STATIC FILM
DH 400 BLACK FLEXIBLE TUBING	GSC18284	DHI	6.55	0.08	1.06													TUBING
DIAL CORD 753-24 TFE COATED GLASS FIBER	GSFC8288	DIN	0.08	0.05	0.01													DIAL CORD
DIAL CORD STUR-D-DIAL DACRON 164 WHITE	GSFC5515	GBE	0.48	0.10														DIAL CORD
DIALL 52-70-70 SHORT GLASS FIBER/DAP	GSFC4232	ACM	0.43	0.00		2H	138	AIR										CONNECTOR
DIAMOND AVIMS CONNECTOR, NORYL A604	GSC30409	DFR	0.04	0.00	0.00													CONNECTOR
DIAMOND FILLED EPOXY ME7159	GSC29158	AIT	1.40	0.04	0.03	30M	65	AIR	4H	100	AIR							ADHESIVE
DICRONITE DRY FILM LUBRICANT	GSC29529	LSI	0.13	0.00	0.04													LUBRICANT
DIE CUT LABELS, WHITE ON POLYMIDE (KAPTON), #T1K-165051-25-9	GSC32227	TYO	1.02	0.03	0.65													MARKING LABEL
DIEMAT 6030HK SILVER-LOADED THERMOSET EPOXY SYSTEM	GSC29443	DIE	0.37	0.03	0.04	30M	125	AIR	1H	175	AIR							HIGH TC DIE ATTACH
DIP 14 PART PHILLIPS LM339AN	GSC23234	ZZZ	0.24	0.00	0.05													ELECTRICAL COMP
DIP 16 LS1014 IS	GSC24336	SUM	0.17	0.00	0.08													ELECTRICAL COMP
DIP 16 PART NTE 7442	GSC23239	ZZZ	0.35	0.00	0.06													ELECTRICAL COMP
DIP 20 PART TI 74LS240N	GSC23228	ZZZ	0.33	0.00	0.05													ELECTRICAL COMP
DIP 2O PART HARRIS CD74MC240E	GSC23231	ZZZ	0.30	0.00	0.06													ELECTRICAL COMP
DIP 40 PART ZILOG Z084006PSC	GSC23223	ZZZ	0.34	0.00	0.10													ELECTRICAL COMP
DIP 8 PART ANALOG 0P07EP	GSC23242	ZZZ	0.23	0.00	0.06													ELECTRICAL COMP
DIP 8 PART DALLAS DS 1232LPS	GSC23237	ZZZ	0.19	0.00	0.05													ELECTRICAL COMP
DIP 8 PART UNITRODE UC3842AN	GSC23226	ZZZ	0.22	0.00	0.05													ELECTRICAL COMP
DIP RESISTOR CXK54256P-45 BLACK	GSC20315	SON	0.26	0.01	0.10													MOLD CPND
DIVINYCELL H45 PVC FOAM	GSC24518	DIA	11.17	0.68	0.39													FOAM
DIVINYCELL HT 200 PVC FOAM CORE	GSC18170	DBI	1.52	0.03	0.58													STRUCTURAL FOAM
DIVINYCELL HT 70 PVC FOAM CORE	GSC18172	DBI	10.22	0.66	0.30													STRUCTURAL FOAM
DIXON CJ LAYERED EPOXY/GLASS/PTFE/NONEX/TEFLON LINER	GSC21539	DIX	0.23	0.01	0.13													BEARING MATERIAL
DIXON COMPOUND 7035 BLACK	GSC21501	DIX	0.03	0.02	0.02													BEARING MATERIAL
DK 36 DRI-KOTE GOLD EPOXY POWDER COATING	GSC20587	DEX	0.44	0.01	0.11	1H	150	AIR										PWDR COATING
DK-15-02 DRI-KOTE EPOXY	GSFC8867	SOX	0.49	0.07	0.30													INSULATION
DK-15-02B GREEN EPOXY POWDER COATING-FLUIDIZED BED	GSC17022	SOX	0.47	0.00	0.22	30M	204	AIR										PWDR COATING
DK-1701 ORANGE POWDER COATING	GSC19174	SOX	1.65	0.75	0.22	45M	127	AIR	2.5H	154	AIR							COATING
DK-1701 ORANGE POWDER COATING	GSC19177	SOX	1.89	0.96	0.19	45M	127	AIR	2.5H	166	AIR							COATING
DK-1701 ORANGE POWDER COATING	GSC19227	SOX	2.31	1.22	0.22	45M	127	AIR	2.5H	154	AIR							COATING
DK-1701 ORANGE POWDER COATING	GSC19229	SOX	2.25	1.27	0.20	24H	127	AIR										COATING
DK-1701 ORANGE POWDER COATING	GSC19360	SOX	2.02	1.04	0.22	45M	127	AIR	2.5H	154	AIR	168H	127	AIR	24H	60	AIR	COATING
DK-1705 BLUE POWDER COATING	GSC14932	SOX	0.74	0.15	0.30	4H	100	AIR										COATING
DK-18-05 EPOXY POWDER COATING YELLOW-GREEN	GSC15998	SOX	0.38	0.04	0.23	30M	150	AIR										COATING
DK-18-05/ECCOSPHERES SI AS 55/45 BW - BLUE	GSFC7700	SOX	0.77	0.20	0.15	2H	93	AIR										POT FOAM
DK-18-0715 BLUE EPOXY POWDER COATING	GSC16610	SOX	0.43	0.05	0.19	30M	150	AIR										PWDR COATING
DK18-0913 COATING POWDER	GSC32119	SOX	0.69	0.14	0.10	1H	150	AIR										COATING POWDER
DK18-0913 GR COATING POWDER	GSC32137	SOX	0.62	0.13	0.17	1H	150	AIR										COATING POWDER
DK18-0985 POWDER COATING	GSC32047	SOX	0.52	0.06	0.19	2H	150	AIR										POWDER COATING
DK-4 DRI-KOTE EPOXY POWDER COATING	GSFC4244	SOX	0.37	0.01		3M	204	AIR										POTTING-COATING
DK-40 GOLD EPOXY POWDER	GSC19305	SOX	0.54	0.04	0.08	5M	177	PSI	1H	60	AIR							MOLD CPND
DK42 GOLD EPOXY COATING POWDER	GSC22984	SOX	0.63	0.01	0.31	1H	150	AIR										COATING
DK42-0969 EPOXY COATING POWDER	GSC22987	SOX	0.65	0.00	0.22	1H	150	AIR										COATING
DK-9-05 MAIDA CAPACITOR COATING GOLD	GSC19357	SOX	0.55	0.01	0.23	1H	150	AIR										COATING
DL 195-73/H-956 AS 4/1 BW CLEAR EPOXY	GSC17528	REP	1.60	0.01	0.39	7D	25	AIR										ADHESIVE
DM 062-1 DAMPING MATERIAL	GSC14151	LOR	11.33	6.33	0.13													DAMPER
DM 100 AL/POLYIMIDE/966 PSA ACRYLIC/F	GSC27331	DUN	0.87	0.00	0.41													TAPE
DM056 48N ALUMINUM/KAPTON WITH ACRYLIC BONDED GLASS SCRIM	GSC33466	DUN	0.54	0.03	0.33													MLI
DM4030LD THERMOPLASTIC ADHESIVE PASTE	GSC28885	DIE	1.43	0.12	0.01	15M	100	AIR	30M	150	AIR							ADHESIVE
DM4030LD THERMOPLASTIC ADHESIVE PASTE LOT # 02114 	GSC29212	DIE*	0.27	0.05	0.00	15M	100	AIR	60M	150	AIR							CONDUCTIVE ADHESIVE
DMP-128 COATED	GSC14866	POC	0.50	0.00	0.33													HOLOGRAM
DMP-128 UNCOATED	GSC14869	POC	0.21	0.00	0.18													HOLOGRAM FILM
DNP DINONYLPHENOL FLASHED CYANATE/ESTER SYNTATIC	GSC26890	HUN	0.40	0.01	0.15													FOAM
DODGE IND TAPE 2045-3  PTFE FILM SILICONE ADH/R	GSFC3487	DIN	0.23	0.11														TAPE
DODGE IND TAPE 2342-2R KAPTON FILM/ACRYLIC ADH/F	GSFC7019	DIN	1.57	0.17	0.66	24H	60	AIR										TAPE
DODGE IND TAPE 2342-2R KAPTON FILM/ACRYLIC ADH/F	GSFC7718	DIN	1.20	0.24	0.47	24H	60	AIR										TAPE
DOLPHON CB-1078 W/E3187/D8585 AS 20/1 BW BLACK	GSFC9443	JCD	1.34	0.01	0.09	7D	25	AIR										ADHESIVE
DOLPHON CB-1078/RE-2000 AS 20/1 BW BLACK EPOXY	GSC11102	JCD	2.09	0.01	0.11	30D	25	AIR										POTTING
DOLPHON CC-1024/RE-2000/SHL 871/FERRO V-285 BLUE	GSC18240	JCD	4.19	0.03	0.27	45M	105	AIR	3H	121	AIR							POTTING
DOLPHON CR-1050/RE-2010 AS 20/7 BW	GSFC4820	JCD	2.80	0.01		3D	25	AIR										POTTING
DOUBLE BUBBLE ACRYLIC KIT IVORY/YELLOW 04050	GSC14091	HIC	7.00	0.28	0.44	21D	25	AIR										ADHESIVE
DOUBLE BUBBLE ACRYLIC KIT OLIVE GREEN 04051	GSC14055	HIC	7.75	0.20	0.51	7D	25	AIR										ADHESIVE
DOUBLE BUBBLE EPOXY KIT YELLOW 04005	GSC14032	HIC	2.73	0.05	0.32	5D	25	AIR										ADHESIVE
DOUBLE BUBBLE EPOXY PATCH KIT PREMEASURED GRAY	GSFC9641	HIC	1.27	0.01	0.20	24H	25	AIR										ADHESIVE
DOUBLE BUBBLE FLEXIBLE GRAY EPOXY KIT 04007	GSC14052	HIC	2.01	0.12	0.59	7D	25	AIR										ADHESIVE
DOUBLE BUBBLE KALEX TUFF STUFF URETHANE 04024 BLACK	GSC14046	HIC	7.98	3.93	0.28	7D	25	AIR										ADHESIVE
DOUBLE BUBBLE KALEX URETHANE KIT LIGHT BROWN 04022	GSC14043	HIC	7.62	3.54	0.32	7D	25	AIR										ADHESIVE
DOUBLE BUBBLE KALEX URETHANE KIT LIGHT GRAY 04023	GSC14029	HIC	1.03	0.01	0.26	5D	25	AIR										ADHESIVE
DOUGLAS 1469/1481 EPOXY 100/3.5 A/B PBW	GSC30760	DGE	0.25	0.00	0.08	45M	66	AIR										ADHESIVE
DOUGLAS 29885/1470 EPOXY 100/3.8 A/B PBW	GSC30766	DGE	0.22	0.01	0.06	4H	82	AIR										ADHESIVE
DOUGLAS 29885/1481 EPOXY 100/3.0 A/B PBW	GSC30778	DGE	0.24	0.01	0.12	45M	66	AIR										ADHESIVE
DOUGLAS 43670/43671 EPOXY 100/21 A/B PBW	GSC30757	DGE	0.34	0.00	0.09	1H	82	AIR										ADHESIVE
DOUGLAS 7113/1470 EPOXY 100/4.5 A/B PBW	GSC30775	DGE	0.33	0.00	0.14	4H	82	AIR										ADHESIVE
DOUGLAS 7113/1481 EPOXY 100/3.5 A/B PBW	GSC30763	DGE	0.24	0.00	0.07	45M	66	AIR										ADHESIVE
DOW CORNING 1200 RTV PRIME COAT, RED	GSC29794	DCC	8.49	0.16	2.02													PRIMER
DOW CORNING 1200 RTV PRIME COAT, RED	GSC29830	DCC	12.03	0.08	2.96													PRIMER FOR SEALANT
DOW CORNING 3-6121	GSC28930	DCC	3.78	1.02	0.09													POTTING COMPOUND
DOW CORNING DC937 VARNISH	GSC30586	DOW	1.30	0.32	0.08	12H	25	AIR	12H	150	AIR	12H	200	AIR				VARNISH
DOW CORNING HV 1668 SILICONE RUBBER GREY	GSC30322	DOW	0.31	0.01	0.24		25											INSULATION
DOW CORNING VARNISH IMPREGNATION 997	GSC30034	DCC	0.28	0.05	0.08	12H	25	AIR	12H	150	AIR	12H	200	AIR	7D	125	AIR	WINDING IMPREGNATION
DOW CORNING VARNISH IMPREGNATION 997	GSC30037	DCC	0.18	0.04	0.08	12H	25	AIR	12H	150	AIR	12H	200	AIR	13D	125	AIR	WINDING IMPREGNATION
DOW CORNING VARNISH IMPREGNATION 997	GSC30040	DCC	1.64	0.18	0.09	12H	25	AIR	12H	150	AIR	12H	200	AIR				WINDING IMPREGNATION
DOW CORNING VARNISH IMPREGNATION 997	GSC29890	DCC	1.34	0.19	0.06	12H	25	AIR	12H	150	AIR	12H	200	AIR				MOTOR WINDING IMPREGNATION
DP-1000 ORANGE NYLON FILM	GSC15062	IPP	3.99	0.20	1.89													ANTI STATIC FILM
DPL 862/TETA AS 50/8 PBW AMBER EPOXY	GSC20363	SHL	0.40	0.00	0.09	2H	63	AIR										ADHESIVE
DPL 862/W/HPT 1071/GLASS/COPPER MESH COMPOSITE	GSC20360	GEC	0.19	0.00	0.04	2.5H	177	AIR										LAMINATE
DRILUBE 822 FLUOROSILICONE LUBRICATING GREASE	GSFC8774	DRI	6.51	2.47	0.00													LUBRICANT
DRI-SLIP POWDERED LUBRICANT - AEROSOL	GSFC5641	MMM	10.73	4.60														LUBRICANT
DRITZ FRAY CHECK LIQUID SEAM SEALANT	GSC28975	PDZ	6.52	0.21	2.49	24H 	25	AIR										COATING
DRIVE BELT FS-128 BLUE POLYURETHANE	GSC21969	PID	1.13	0.08	0.68													DRIVE BELT
DS21Q3, HIGH DENSITY POLYETHYLENE BLACK DUST CAP	GSC32620	CAP	2.01	0.04	0.41													ELECTRONIC DUST SHIELD
DSM SOMOS 14120 RESIN	GSC28840	DSM	4.33	0.03	0.30													MOLDING COMPOUND
DSM SOMOS 9120 EPOXY PHOTOPOLYMER/UV CURED	GSC27979	SMS	8.96	0.07	0.60													EPOXY PHOTOPOLYMER
DUAL LOCK FASTENER SJ 3441 BLACK POLYOLEFIN	GSC20055	MMM	0.60	0.22	0.01													FASTENER
DUAL LOCK FASTENER SJ 3460 CLEAR POLYOLEFIN	GSC20058	MMM	0.31	0.15	0.02													FASTENER
DUAL LOCK FASTENER SJ 3541 BLACK POLYOLEFIN/RUB ADH	GSC20175	MMM	2.07	0.79	0.01													FASTENER
DUAL LOCK FASTENER SJ 3542 BLACK POLYOLEFIN/RUB ADH	GSC20121	MMM	3.30	1.50	0.02													FASTENER
DUAL LOCK FASTENER SJ 3551 BLACK POLYOLEFIN/ACR ADH	GSC20178	MMM	1.08	0.18	0.09													FASTENER
DUAL LOCK FASTENER SJ 3560 CLEAR POLYOLEFIN/ACR ADH	GSC20061	MMM	1.07	0.05	0.09													FASTENER
DUAL LOCK LOW PROFILE RECLOSABLE FASTENER	GSC29689	TMS	1.03	0.22	0.03													FASTENER
DUCO CEMENT, BATCH LOT # P000225456	GSC32041	DEV	15.22	0.20	0.75	7D 	25	AIR										CEMENT
DUN-CHROME 500C VDA TEFLON	GSC10272	DUN	0.01	0.00	0.00													THERMAL BLANKET
DUN-LAM AL METAL BOTH SIDES 25 MIL POLYESTER FLAT	GSC25198	DUN	0.24	0.00	0.15													THERMAL BLANKETS
DUN-LAM AL METAL BOTH SIDES 25 MIL POLYESTER FLAT	GSC25207	DUN	0.19	0.00	0.06													THERMAL BLANKETS
DUN-LAM AL METAL BOTH SIDES 25 MIL POLYESTER FLAT	GSC25210	DUN	0.18	0.01	0.07													THERMAL BLANKETS
DUN-LAM AL METAL BOTH SIDES 25 MIL POLYESTER PERF	GSC25201	DUN	0.16	0.00	0.08													THERMAL BLANKETS
DUN-LAM AL METAL BOTH SIDES 25 MIL POLYESTER PERF	GSC25204	DUN	0.15	0.01	0.04													THERMAL BLANKETS
DUN-LAM AL METAL BOTH SIDES 25 MIL POLYESTER PERF	GSC25213	DUN	0.16	0.01	0.03													THERMAL BLANKETS
DUN-LAM CB BLACK KAPTON/AL 100 MILS	GSC25216	DUN	0.86	0.00	0.72													THERMAL BLANKETS
DUN-LAM KAPTON/AL/NOMEX 200 MIL PERF	GSC25354	DUN	1.39	0.07	0.13													THERMAL BLANKETS
DUN-LAM POLYESTER/AL/NOMEX 200 MIL PERF	GSC25357	DUN	1.45	0.09	1.12													THERMAL BLANKETS
DUN-METAL AL METAL BOTH SIDES 25 MIL POLYESTER PERF	GSC25351	DUN	0.25	0.02	0.19													THERMAL BLANKETS
DUN-METAL KAPTON/AL MBS/NOMEX 500 MILS PERF	GSC25225	DUN	1.93	0.10	1.41													THERMAL BLANKET
DUN-METAL KAPTON/AL/NOMEX 200 MILS	GSC25219	DUN	1.27	0.09	1.09													THERMAL BLANKETS
DUN-METAL KAPTON/AL/NOMEX 200 MILS	GSC25222	DUN	1.59	0.05	1.34													THERMAL BLANKETS
DUNMORE 200 DUN-MET ESD SHIELD (2 MIL)	GSC32050	DUN	0.36	0.01	0.22													BAGGING MATERIAL
DUNMORE MO 13046 ALUMINIZED TAPE	GSC33781	DUN	1.06	0.00	0.81													TAPE
DUNMORE MO20291	GSC33841	DUN	1.66	0.01	1.31													MLI
DUNMORE MO20292	GSC33832	DUN	1.67	0.00	1.34													MLI
DUNMORE MO21153, 275 DM GE/BLACKXC KAPTON/NOMEX	GSC32953	DUN	1.76	0.04	1.64													BLANKET MATERIAL
DUNMORE SP06592 200 DUN-MET TC/PET/AL/CRC BAGGING	GSC32905	DUN	0.28	0.01	0.16													BAGGING MATERIAL
DUNMORE SP06592 200 DUN-MET TC/PET/AL/CRC ROLL #120402081	GSC33442	DUN	0.31	0.01	0.19													BAGGING MATERIAL
DUNMORE SP06592 200 DUN-MET TC/PET/AL/CRC ROLL #120402123	GSC33445	DUN	0.33	0.01	0.20													BAGGING MATERIAL
DUNMORE SP06592 A200 FILM HEAT SEAL	GSC33640	DUN	0.32	0.00	0.22													BAGGING MATERIAL
DUNMORE SP06592 BH11 FILM HEAT SEAL	GSC33646	DUN	0.29	0.00	0.20													BAGGING MATERIAL
DUNMORE SP06592 DUN-MET TC/PET/CRC BAGGING	GSC32206	DUN	0.32	0.00	0.22													BAGGING MATERIAL
DUNMORE SP06592 S FILM HEAT SEAL	GSC33643	DUN	0.29	0.00	0.19													BAGGING MATERIAL
DUNMORE SP06741 100 DUN-MET TC/PET/AL/CRC BAGGING	GSC31894	DUN	0.45	0.00	0.16													BAGGING
DUNMORE SP06952 DUN-MET200	GSC32602	DUN	0.21	0.00	0.11													PACKAGING
DUNMORE SP09071 A200 FILM  	GSC33649	DUN	0.42	0.02	0.20													BAGGING MATERIAL
DUNMORE SP09071 BH11 FILM	GSC33655	DUN	0.33	0.01	0.19													BAGGING MATERIAL
DUNMORE SP09071 S FILM 	GSC33652	DUN	0.39	0.01	0.23													BAGGING MATERIAL
DUN-RAY 100 DX8078-20 POLYESTER FILM/FR/ALUMINIZED	GSC17133	DUN	2.39	0.93	0.07													ANTI STATIC FILM
DUNSHIELD SP09071 200 DUN-MET HEAT SEAL VERSION	GSC33061	DUN	0.43	0.01	0.22													BAGGING MATERIAL
DUOCEL ALUMINUM FOAM 10 PPI 6-8% DENSITY	GSC14934	ERG	0.03	0.00	0.01													STRUCTURAL
DUOCEL ALUMINUM FOAM 20 PPI 6-8% DENSITY	GSC14936	ERG	0.03	0.01	0.01													STRUCTURAL
DUOCEL ALUMINUM FOAM 40 PPI 50% DENSITY	GSC14940	ERG	0.11	0.00	0.01													STRUCTURAL
DUOCEL ALUMINUM FOAM 40 PPI 6-8% DENSITY	GSC14938	ERG	0.03	0.00	0.00													STRUCTURAL
DUPONT 1 MIL BLACK KAPTON CB FILM	GSC30781	DUP	1.34	0.01	1.15													THERMAL BLANKET
DUPONT 200MT KAPTON SHEET	GSC23275	DUP	0.69	0.00	0.64													SHEET MATERIAL
DUPONT 46971/CAT 805 AS 10/1 BW	GSFC2209	DUP	3.29	0.51		1H	25	AIR	15M	135	AIR							ADHESIVE
DUPONT 4817 CONDUCTIVE SILVER PAINT	GSFC3183	DUP	3.84	0.04		24H	25	AIR										COND PAINT
DUPONT 4922 A/B AS 1/1 BW COND SILVER PAINT	GSFC2643	DUP	0.61	0.00		15M	66	AIR	48H	99	AIR							COND PAINT
DUPONT 5504A SILVER FILLED EPOXY	GSFC4532	DUP	0.05	0.00		1H	160	AIR	2H	240	AIR							COND ADHESIVE
DUPONT 6838 SILVER-FILLED EPOXY	GSC28516	DUP	0.17	0.01	0.05	3H	190	AIR										EPOXY
DUPONT BLUE LACQUER 43907-LHX/DETZLER PRIMER DZL-32	GSC13383	DUP	4.42	0.66	0.16	6H	70	AIR										PAINT SYSTEM
DUPONT PYRALUX PF BONDING FILM (NON UL VERSION)	GSC28594	DUP	0.69	0.01	0.64													FILM
DUPONT PYRALUX PF BONDING FILM (UL VERSION)	GSC28597	DUP	0.74	0.00	0.66													FILM
DUPONT PYRALUX PF COVERLAY (NON UL VERSION)	GSC28591	DUP	0.70	0.01	0.66													FILM
DUPONT RED LACQUER 8571-LHX/DETZLER PRIMER DZL-32	GSC13386	DUP	4.57	0.71	0.14	6H	70	AIR										PAINT SYSTEM
DURA CLAD INDUSTRIAL COATING ALKYD ENAMEL/12-982/F	GSC26167	DUR	2.98	0.37	0.11													PAINT
DURABOND 952 NICKEL BASED METALLIC ADHESIVE, A/B 100/120 BW	GSC32182	COT	7.40	0.02	0.37	24H	25	AIR										ADHESIVE
DURA-CON STRIP CONNECTOR VALOX 420-E02 BLACK	GSC18124	CIN	0.29	0.04	0.11													MOLD CPND
DURACORE COATING	GSC12820	ACC	5.92	0.51	2.37	15M	25	AIR	1M	52	AIR	1H	191	AIR				COATING
DURAD/TFE WIRE INSULATION RED/BLK NPC	GSFC9248	HAV	0.06	0.00	0.02													WIRE INSUL
DURAD/TFE WIRE INSULATION YELLOW SPC	GSFC9251	HAV	0.02	0.00	0.00													WIRE INSUL
DURAFILM 300 SERIES ENAMEL	GSC10191	ADF	0.33	0.01	0.25	20M	149	AIR	20M	149	AIR	20M	260	AIR				COATING
DURAFLECT WHITE REFLECTANCE COATING/F	GSC26110	LAB	0.07	0.01	0.01													OPTICAL COATING
DURAFORM C950 POLYACRYLATE THERMAL COND FILM ADH	GSC23892	FUR	27.73	0.88	0.09													CONDUCTIVE ADH
DURALAC BLACK ENAMEL-LUSTERLESS	GSFC2200	NLC	2.70	0.21		1H	121	AIR										PAINT
DURALCO 120. 2 PART A/B 100/3.4 BW, SILVER	GSC32059	COT	0.33	0.01	0.06	7M	121	AIR										ELEC COND ADHESIVE
DURALCO 4460	GSC29932	COT	0.41	0.01	0.24													EPOXY
DURALCO 4525 EPOXY	GSC29869	COT	0.52	0.00	0.16													EPOXY
DURALCO 4703 A:B 100:22PBW	GSC31453	COT	0.33	0.00	0.16	2H	105	AIR	4H	130	AIR	12H	200	E-2				ADHESIVE COATINT
DUREZ 22761 DAP BLACK REINFORCED	GSC14374	OCI	0.66	0.04	0.20	3M	171	PSI										MOLD CPND
DUREZ 22761 DAP BLUE REINFORCED	GSC14376	OCI	0.73	0.02	0.22	3M	171	PSI										MOLD CPND
DUREZ 23570 PHENOLIC BLACK REINFORCED	GSC14378	OCI	1.18	0.00	0.34	3M	171	PSI										MOLD CPND
DUREZ 23570 PHENOLIC GREEN REINFORCED	GSC14380	OCI	1.27	0.00	0.38	3M	171	PSI										MOLD CPND
DUREZ 24776 DAP AQUA REINFORCED	GSC14382	OCI	0.66	0.02	0.18	3M	171	PSI										MOLD CPND
DUREZ 24776 DAP GRAY MIL-M-14G TYPE SDG-F	GSC13879	OCI	0.68	0.03	0.26													MOLD CPND
DUR-O-LITE	GSC10910	CBC	2.87	0.17	0.15													MOLD CPND
DURON 04-123 INTERIOR ACRYLIC UNCERCOAT, WHITE/F	GSC28636	DUR	3.79	0.54	0.35													PRIMER
DURON DURA CLAD 914, PRE CATALYZED ACRLIC EPOXY GLOSS/F	GSC28639	DUR	5.19	0.82	0.29													PAINT
DUTCH BOY RED ENAMEL 756	GSFC3628	NLC	0.94	0.33		16H	125	AIR										PAINT
DUX SEAL	GSFC2098	JOM	2.75	0.43														SEALANT
DYCHEM MARKING PEN, WHITE, 84003	GSC28408	DYC	3.37	0.52	0.26													INK
DYFLON BEARING LINER	GSC22210	SWP	0.99	0.02	0.17	14H	149	AIR										LUBRICANT
DYFLON DRY FILM LUBRICANT	GSC14653	SWP	0.68	0.03	0.25													LUBRICANT
DYKEM/BRITE-MARK BLACK 84002	GSC33220	DYK	5.72	0.67	0.65													PAINT MARKER
DYKEM/BRITE-MARK WHITE 84003	GSC33223	DYK	3.63	0.43	0.41													PAINT MARKER
DYKEM/BRITE-MARK YELLOW 84004	GSC33160	DYK	5.27	0.55	0.21													PAINT MARKER
DYMAX 3089 GEL POLYURETHANE MIXTURE UV CURE	GSC27088	DYM	8.80	0.56	2.19													OPTICAL CEMENT
DYMAX OP-30 POLYURETHANE	GSC27256	DYM	2.25	0.45	0.67	17H	25	N2										OPTICAL ADHESIVE
DYMAX OP-62 POLYURETHANE MIXTURE UV CURE 1	GSC26917	DYM	1.41	0.02	0.68													ADHESIVE
DYMAX OP-62 POLYURETHANE MIXTURE UV CURE 2	GSC26920	DYM	3.66	0.25	0.80													ADHESIVE
DYNA-FELT REFRACTORY FIBER FELT - ETOH WASH	GSFC7724	JOM	0.09	0.01	0.00													FELT
DYNAFLEX G 7410 THERMOPLASTIC RUBBER BOOT	GSC25083	GLS	16.53	10.04	0.01													CONNECTOR
DYNA-FLEX REFRACTORY FIBER FELT	GSFC7721	JOM	0.13	0.05	0.08													FELT
DYNAMARK 8015 LABEL W/ ADH WHITE/BLACK MARKING/F	GSC20797	MMM	0.62	0.05	0.26													LABEL
DYNAMARK 8015/8020 COATING W/ADH WHITE/BLACK/F	GSC20799	MMM	0.62	0.04	0.26													LABEL
DYNAMARK 8030 METAL LABEL COATING 3900/F	GSC16772	MMM	0.12	0.01	0.02													LABEL
DYNAMARK 8030 METAL LABEL COATING 8020/F	GSC16775	MMM	0.14	0.01	0.07													LABEL
DYNAMARK 8030 METAL LABEL NO COATING/F	GSC16769	MMM	0.10	0.01	0.02													LABEL
DYNAMARK 8130 METAL LABEL NO COATING/F	GSC16778	MMM	0.09	0.01	0.03													LABEL
DYNAMASK 5030	GSC33583	DYM	2.67	0.02	0.84	60M	150	AIR										SOLDER MASK
DYNAMASK KM UV CURED GREEN SOLDER MASK	GSC20082	DYN	2.93	0.44	0.48	1H	149	AIR										SOLDER MASK
DYNAMASK KM-30 UV CURED GREEN SOLDER MASK	GSC20288	DYN	3.08	0.48	0.65	1H	149	AIR										SOLDER MASK
DYNAMASK KM-40 UV CURED GREEN SOLDER MASK	GSC20291	DYN	3.04	0.45	0.63	1H	149	AIR										SOLDER MASK
DYNAMAX MULTI-CURE ONE COMPONENT ADHESIVE UV CURE	GSC26086	DEA	5.23	0.14	0.71	5M	25	AIR										ADHESIVE
E 484 BLACK EPOXY	GSC17932	COS	0.41	0.01	0.15	15M	149	PSI	3H	135	AIR							MOLD CPND
E 788 POTTING RESIN	GSFC8420	USP	1.25	0.01	0.44	4H	177	AIR										POTTING
E 876 EPOXY	GSFC8873	USP	0.88	0.00	0.22	2H	121	AIR										POTTING
E101 GRADE A ONE PART SILVER FILLED EPOXY	GSC20477	UST	0.48	0.03	0.11	20M	150	AIR										COND ADHESIVE
E10-101-PURE SIVER FILLED ELECTRICALLY CONDUCTIVE EPOXY	GSC33541	ALF	0.62	0.00	0.13													ADHESIVE
E10-102 SINGLE COMPONENT, CONDUCTIVE NICKEL, HIGH TEMP	GSC33241	ALF	0.25	0.00	0.07													ADHESIVE
E10-104 - SILVER FILLED ELEC COND EPOXY	GSC33265	ALF	0.38	0.01	0.07													ADHESIVE
E10-108 TWO COMPONENT, CONDUCTIVE SILVER	GSC33238	ALF	1.18	0.15	0.33													ADHESIVE
E201 GRADE A A/B AS 10/1 PBW SILVER FILLED EPOXY	GSC20480	UST	0.86	0.15	0.09	1H	60	AIR										COND ADHESIVE
E20-200 - FAST CURE TWO-PART EPOXY	GSC33079	ALF	1.53	0.07	0.54													ADHESIVE
E203 GRADE A A/B AS 50/3 PBW SILVER FILLED EPOXY	GSC20483	UST	0.53	0.03	0.13	20M	100	AIR										COND ADHESIVE
E-252/C-46 CAT/STYRENE AS 10/3/1.3 BW	GSC13466	STV	2.55	0.32	0.28	2H	82	AIR										ADHESIVE
E-2794-13 A/B AS 10/1 BW SILICONE - SPECIAL	GSFC7937	DCC	0.85	0.29	0.04	10D	25	AIR										ADHESIVE
E411-A RELEASE AGENT FORMULA A AEROSOL	GSC15558	MSI	1.34	0.57	0.20	19D	25	AIR										DRY LUBRICANT
E411-A RELEASE AGENT FORMULA B AEROSOL	GSC15560	MSI	1.39	0.38	0.13	19D	25	AIR										DRY LUBRICANT
E4920 GOLD EPOXY	GSC21972	COS	0.38	0.00	0.19	15M	149	PSI	3H	135	AIR							MOLD CPND
